id,name,description,created_at
145,Validation Expert,validation-expert,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
147,Webmethods,webmethods,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
149,Web Developer,webdeveloper,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
154,Visual Basic Dev,visualbasicdeveloper,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
155,VMware Admin,vmwareadministrator,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
159,SAP QA,sapqa,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
161,ETL Developer,etldeveloper,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
162,Test Manager,testmanager,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
163,Drupal Developer,drupaldeveloper,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
164,Guidewire,guidewire,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
165,MySQL Expert,mysqlexpert,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
166,Power Builder Dev,powerbuilderdeveloper,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
167,ATG,atg,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
168,AWS,aws,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
169,Azure Expert,azureexpert,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
170,Agile Coach,agilecoach,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
171,RPA Developer,rpadeveloper,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
172,Software Developer,softwaredeveloper,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
174,AEM Developer,aemdeveloper,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
175,Support,support,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
176,Blockchain Developer,blockchaindeveloper,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
177,Cloud,cloud,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
178,Configuration Mngmt,configurationmanagement,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
179,Filenet ,filenet,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
180,Firmware,firmware,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
181,Site Reliability Engg,sitereliabilityengineer,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
182,Talend,talend,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
183,Others,others,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
184,Kronos Dev,kronos-developer,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
185,Lawson,Lawson,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
186,Workday,Workday,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
187,Snowflake,snowflake,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
188,Appian,appian,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
189,Business intelligence,business-intelligence,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
190,Engineer,engineer,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
191,GIS,gis,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
192,Informix,informix,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
193,Kafka,kafka,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
194,Lotus Notes,lotus-notes,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
195,Machine language,machine-language,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
196,Magento,Magento,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
197,Maximo,maximo,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
198,Alteryx,alteryx,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
200,Delphi,delphi,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
202,Graphic Designer,graphic-designer,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
209,Manhattan WMS,manhattan-wms,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
211,Data Engineer,data-engineer,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
212,MongoDB,MongoDB,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
214,Product Owner,product-owner,Thu May 29 2025 18:58:18 GMT-0400 (Eastern Daylight Time)
